disposition,orbit_period_days,stellar_radius_sun,stellar_effective_temp_kelvin,planet_equilibrium_temp_kelvin,stellar_surface_gravity_log10_cm_s2
1,4.0782392,1.74836,6501.0,1617.8267296,4.08
0,7.14386,1.91,7860.0,,4.15
0,7.04083,0.91,5317.0,1505.0,4.49
1,2.1061569,0.940697,5380.0,1308.0417533,4.4337
0,2.4545635,1.64,6610.0,1899.0,4.15
0,11.4756978,2.13,7262.0,512.0,4.0
0,2.78186,2.21,6819.0,1680.0,3.92
0,6.4410082,0.53,3469.0,471.0,4.71
1,2.4887726,,8048.0,1344.9531805,4.438
1,4.45199,1.57,6708.3,1571.0,4.2
1,5.0100708,0.906282,5551.0,971.6657708,4.46214
1,2.2281625,1.02,5731.0,1434.0,4.43
0,4.13812,,4898.4,1386.0,
1,10.95663,2.07,6456.0,1389.0,3.92
1,2.4997996,1.13732,5650.0,1399.9894384,4.28867
0,1.66226,1.64,7301.0,2561.0,4.23
0,4.07611,,,,
0,3.6245513,1.38,6317.0,,
1,1.20928,1.27,5159.8,,4.23
1,3.5187707,1.49,6690.0,1863.0,4.24
1,0.7724825,2.5027299,8271.0,3996.2877922,3.95
0,1.6268695,0.73,5034.0,1850.0,4.64
0,2.32439,,8268.5,4502.0,3.93
0,13.5499,1.63,6209.0,660.0,4.09
0,4.43651,2.32,7101.9,2653.0,3.91
1,3.372877,1.02,6050.0,1270.187448,4.45061
1,8.34998,0.74,4236.0,588.0,4.52
1,4.0686405,0.741921,4236.0,772.378302,4.52
1,0.5860366,2.39803,5579.0,3263.6721812,3.67
0,1.5502952,1.86,7851.0,2839.0,4.17
0,1.80709,2.2,6244.0,2569.0,3.84
0,18.6922101,1.65,6277.0,1141.0,4.09
1,8.0277326,1.15,5962.7,1106.0,4.38
1,12.5187279,0.98,5729.0,1393.0,4.47
1,6.2586065,0.98,5729.0,1087.0,4.47
1,26.3208756,0.98,5729.0,631.0,4.47
1,18.795547,0.977727,5729.0,672.9826313,4.47
1,1.3206356,6.3070302,4919.6,1982.7142102,
0,0.64971,2.59,9994.0,4731.0,4.02
1,4.4780798,1.83,7947.0,3715.0,4.2
1,3.2887898,1.24175,5800.0,1338.8392647,4.28004
0,13.7431084,1.34,5941.5,844.0,
0,16.9487087,1.1179,5894.7,758.5937679,4.37
0,3.3686634,2.68,7518.0,2775.0,3.82
0,11.2071839,2.24,6152.0,1487.0,3.84
1,4.8878037,0.76,4757.3,810.0,4.56
0,2.97164,,8562.5,2076.0,
0,0.660179,2.62432,8598.7,5717.1532477,4.1
0,10.9278415,2.92,6259.0,1129.0,3.59
1,5.5514888,1.55,6403.9,1482.0,4.16
1,2.3202418,,8737.5,3115.3801229,
1,4.7423709,0.877585,5377.0,970.6340996,4.42476
1,1.4810903,2.28773,9435.0,3446.0210572,4.11
